Date,DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
04/06/2021,20180406,2018-04-06,6,Friday,6,96,14,April,4,2,2018,1,4,2018,2
04/07/2021,20180407,2018-04-07,7,Saturday,7,97,14,April,4,2,2018,1,4,2018,2
04/08/2021,20180408,2018-04-08,1,Sunday,8,98,15,April,4,2,2018,1,4,2018,2
04/09/2021,20180409,2018-04-09,2,Monday,9,99,15,April,4,2,2018,1,4,2018,2
04/10/2021,20180410,2018-04-10,3,Tuesday,10,100,15,April,4,2,2018,1,4,2018,2
04/11/2021,20180411,2018-04-11,4,Wednesday,11,101,15,April,4,2,2018,1,4,2018,2
04/12/2021,20180412,2018-04-12,5,Thursday,12,102,15,April,4,2,2018,1,4,2018,2
04/13/2021,20180413,2018-04-13,6,Friday,13,103,15,April,4,2,2018,1,4,2018,2
04/14/2021,20180414,2018-04-14,7,Saturday,14,104,15,April,4,2,2018,1,4,2018,2
04/15/2021,20180415,2018-04-15,1,Sunday,15,105,16,April,4,2,2018,1,4,2018,2
04/16/2021,20180416,2018-04-16,2,Monday,16,106,16,April,4,2,2018,1,4,2018,2
04/17/2021,20180417,2018-04-17,3,Tuesday,17,107,16,April,4,2,2018,1,4,2018,2
04/18/2021,20180418,2018-04-18,4,Wednesday,18,108,16,April,4,2,2018,1,4,2018,2
04/19/2021,20180419,2018-04-19,5,Thursday,19,109,16,April,4,2,2018,1,4,2018,2
04/20/2021,20180420,2018-04-20,6,Friday,20,110,16,April,4,2,2018,1,4,2018,2
04/21/2021,20180421,2018-04-21,7,Saturday,21,111,16,April,4,2,2018,1,4,2018,2
04/22/2021,20180422,2018-04-22,1,Sunday,22,112,17,April,4,2,2018,1,4,2018,2
04/23/2021,20180423,2018-04-23,2,Monday,23,113,17,April,4,2,2018,1,4,2018,2
04/24/2021,20180424,2018-04-24,3,Tuesday,24,114,17,April,4,2,2018,1,4,2018,2
04/25/2021,20180425,2018-04-25,4,Wednesday,25,115,17,April,4,2,2018,1,4,2018,2
04/26/2021,20180426,2018-04-26,5,Thursday,26,116,17,April,4,2,2018,1,4,2018,2
04/27/2021,20180427,2018-04-27,6,Friday,27,117,17,April,4,2,2018,1,4,2018,2
04/28/2021,20180428,2018-04-28,7,Saturday,28,118,17,April,4,2,2018,1,4,2018,2
04/29/2021,20180429,2018-04-29,1,Sunday,29,119,18,April,4,2,2018,1,4,2018,2
04/30/2021,20180430,2018-04-30,2,Monday,30,120,18,April,4,2,2018,1,4,2018,2
05/01/2021,20180501,2018-05-01,3,Tuesday,1,121,18,May,5,2,2018,1,4,2018,2
05/02/2021,20180502,2018-05-02,4,Wednesday,2,122,18,May,5,2,2018,1,4,2018,2
05/03/2021,20180503,2018-05-03,5,Thursday,3,123,18,May,5,2,2018,1,4,2018,2
05/04/2021,20180504,2018-05-04,6,Friday,4,124,18,May,5,2,2018,1,4,2018,2
05/05/2021,20180505,2018-05-05,7,Saturday,5,125,18,May,5,2,2018,1,4,2018,2
05/06/2021,20180506,2018-05-06,1,Sunday,6,126,19,May,5,2,2018,1,4,2018,2
05/07/2021,20180507,2018-05-07,2,Monday,7,127,19,May,5,2,2018,1,4,2018,2
05/08/2021,20180508,2018-05-08,3,Tuesday,8,128,19,May,5,2,2018,1,4,2018,2
05/09/2021,20180509,2018-05-09,4,Wednesday,9,129,19,May,5,2,2018,1,4,2018,2
05/10/2021,20180510,2018-05-10,5,Thursday,10,130,19,May,5,2,2018,1,4,2018,2
05/11/2021,20180511,2018-05-11,6,Friday,11,131,19,May,5,2,2018,1,4,2018,2
05/12/2021,20180512,2018-05-12,7,Saturday,12,132,19,May,5,2,2018,1,4,2018,2
05/13/2021,20180513,2018-05-13,1,Sunday,13,133,20,May,5,2,2018,1,4,2018,2
05/14/2021,20180514,2018-05-14,2,Monday,14,134,20,May,5,2,2018,1,4,2018,2
05/15/2021,20180515,2018-05-15,3,Tuesday,15,135,20,May,5,2,2018,1,4,2018,2
05/16/2021,20180516,2018-05-16,4,Wednesday,16,136,20,May,5,2,2018,1,4,2018,2
05/17/2021,20180517,2018-05-17,5,Thursday,17,137,20,May,5,2,2018,1,4,2018,2
05/18/2021,20180518,2018-05-18,6,Friday,18,138,20,May,5,2,2018,1,4,2018,2
05/19/2021,20180519,2018-05-19,7,Saturday,19,139,20,May,5,2,2018,1,4,2018,2
05/20/2021,20180520,2018-05-20,1,Sunday,20,140,21,May,5,2,2018,1,4,2018,2
05/21/2021,20180521,2018-05-21,2,Monday,21,141,21,May,5,2,2018,1,4,2018,2
05/22/2021,20180522,2018-05-22,3,Tuesday,22,142,21,May,5,2,2018,1,4,2018,2
05/23/2021,20180523,2018-05-23,4,Wednesday,23,143,21,May,5,2,2018,1,4,2018,2
05/24/2021,20180524,2018-05-24,5,Thursday,24,144,21,May,5,2,2018,1,4,2018,2
05/25/2021,20180525,2018-05-25,6,Friday,25,145,21,May,5,2,2018,1,4,2018,2
05/26/2021,20180526,2018-05-26,7,Saturday,26,146,21,May,5,2,2018,1,4,2018,2
05/27/2021,20180527,2018-05-27,1,Sunday,27,147,22,May,5,2,2018,1,4,2018,2
05/28/2021,20180528,2018-05-28,2,Monday,28,148,22,May,5,2,2018,1,4,2018,2
05/29/2021,20180529,2018-05-29,3,Tuesday,29,149,22,May,5,2,2018,1,4,2018,2
05/30/2021,20180530,2018-05-30,4,Wednesday,30,150,22,May,5,2,2018,1,4,2018,2
05/31/2021,20180531,2018-05-31,5,Thursday,31,151,22,May,5,2,2018,1,4,2018,2
06/01/2021,20180601,2018-06-01,6,Friday,1,152,22,June,6,2,2018,1,4,2018,2
06/02/2021,20180602,2018-06-02,7,Saturday,2,153,22,June,6,2,2018,1,4,2018,2
06/03/2021,20180603,2018-06-03,1,Sunday,3,154,23,June,6,2,2018,1,4,2018,2
06/04/2021,20180604,2018-06-04,2,Monday,4,155,23,June,6,2,2018,1,4,2018,2
06/05/2021,20180605,2018-06-05,3,Tuesday,5,156,23,June,6,2,2018,1,4,2018,2
06/06/2021,20180606,2018-06-06,4,Wednesday,6,157,23,June,6,2,2018,1,4,2018,2
06/07/2021,20180607,2018-06-07,5,Thursday,7,158,23,June,6,2,2018,1,4,2018,2
06/08/2021,20180608,2018-06-08,6,Friday,8,159,23,June,6,2,2018,1,4,2018,2
06/09/2021,20180609,2018-06-09,7,Saturday,9,160,23,June,6,2,2018,1,4,2018,2
06/10/2021,20180610,2018-06-10,1,Sunday,10,161,24,June,6,2,2018,1,4,2018,2
06/11/2021,20180611,2018-06-11,2,Monday,11,162,24,June,6,2,2018,1,4,2018,2
06/12/2021,20180612,2018-06-12,3,Tuesday,12,163,24,June,6,2,2018,1,4,2018,2
06/13/2021,20180613,2018-06-13,4,Wednesday,13,164,24,June,6,2,2018,1,4,2018,2
06/14/2021,20180614,2018-06-14,5,Thursday,14,165,24,June,6,2,2018,1,4,2018,2
06/15/2021,20180615,2018-06-15,6,Friday,15,166,24,June,6,2,2018,1,4,2018,2
06/16/2021,20180616,2018-06-16,7,Saturday,16,167,24,June,6,2,2018,1,4,2018,2
06/17/2021,20180617,2018-06-17,1,Sunday,17,168,25,June,6,2,2018,1,4,2018,2
06/18/2021,20180618,2018-06-18,2,Monday,18,169,25,June,6,2,2018,1,4,2018,2
06/19/2021,20180619,2018-06-19,3,Tuesday,19,170,25,June,6,2,2018,1,4,2018,2
06/20/2021,20180620,2018-06-20,4,Wednesday,20,171,25,June,6,2,2018,1,4,2018,2
06/21/2021,20180621,2018-06-21,5,Thursday,21,172,25,June,6,2,2018,1,4,2018,2
06/22/2021,20180622,2018-06-22,6,Friday,22,173,25,June,6,2,2018,1,4,2018,2
06/23/2021,20180623,2018-06-23,7,Saturday,23,174,25,June,6,2,2018,1,4,2018,2
06/24/2021,20180624,2018-06-24,1,Sunday,24,175,26,June,6,2,2018,1,4,2018,2
06/25/2021,20180625,2018-06-25,2,Monday,25,176,26,June,6,2,2018,1,4,2018,2
06/26/2021,20180626,2018-06-26,3,Tuesday,26,177,26,June,6,2,2018,1,4,2018,2
06/27/2021,20180627,2018-06-27,4,Wednesday,27,178,26,June,6,2,2018,1,4,2018,2
06/28/2021,20180628,2018-06-28,5,Thursday,28,179,26,June,6,2,2018,1,4,2018,2
06/29/2021,20180629,2018-06-29,6,Friday,29,180,26,June,6,2,2018,1,4,2018,2
06/30/2021,20180630,2018-06-30,7,Saturday,30,181,26,June,6,2,2018,1,4,2018,2
07/01/2021,20180701,2018-07-01,1,Sunday,1,182,27,July,7,3,2018,2,1,2019,1
07/02/2021,20180702,2018-07-02,2,Monday,2,183,27,July,7,3,2018,2,1,2019,1
07/03/2021,20180703,2018-07-03,3,Tuesday,3,184,27,July,7,3,2018,2,1,2019,1
07/04/2021,20180704,2018-07-04,4,Wednesday,4,185,27,July,7,3,2018,2,1,2019,1
07/05/2021,20180705,2018-07-05,5,Thursday,5,186,27,July,7,3,2018,2,1,2019,1
07/06/2021,20180706,2018-07-06,6,Friday,6,187,27,July,7,3,2018,2,1,2019,1
07/07/2021,20180707,2018-07-07,7,Saturday,7,188,27,July,7,3,2018,2,1,2019,1
07/08/2021,20180708,2018-07-08,1,Sunday,8,189,28,July,7,3,2018,2,1,2019,1
07/09/2021,20180709,2018-07-09,2,Monday,9,190,28,July,7,3,2018,2,1,2019,1
07/10/2021,20180710,2018-07-10,3,Tuesday,10,191,28,July,7,3,2018,2,1,2019,1
07/11/2021,20180711,2018-07-11,4,Wednesday,11,192,28,July,7,3,2018,2,1,2019,1
07/12/2021,20180712,2018-07-12,5,Thursday,12,193,28,July,7,3,2018,2,1,2019,1
07/13/2021,20180713,2018-07-13,6,Friday,13,194,28,July,7,3,2018,2,1,2019,1
07/14/2021,20180714,2018-07-14,7,Saturday,14,195,28,July,7,3,2018,2,1,2019,1
07/15/2021,20180715,2018-07-15,1,Sunday,15,196,29,July,7,3,2018,2,1,2019,1
07/16/2021,20180716,2018-07-16,2,Monday,16,197,29,July,7,3,2018,2,1,2019,1
07/17/2021,20180717,2018-07-17,3,Tuesday,17,198,29,July,7,3,2018,2,1,2019,1
07/18/2021,20180718,2018-07-18,4,Wednesday,18,199,29,July,7,3,2018,2,1,2019,1
07/19/2021,20180719,2018-07-19,5,Thursday,19,200,29,July,7,3,2018,2,1,2019,1
07/20/2021,20180720,2018-07-20,6,Friday,20,201,29,July,7,3,2018,2,1,2019,1
07/21/2021,20180721,2018-07-21,7,Saturday,21,202,29,July,7,3,2018,2,1,2019,1
07/22/2021,20180722,2018-07-22,1,Sunday,22,203,30,July,7,3,2018,2,1,2019,1
07/23/2021,20180723,2018-07-23,2,Monday,23,204,30,July,7,3,2018,2,1,2019,1
07/24/2021,20180724,2018-07-24,3,Tuesday,24,205,30,July,7,3,2018,2,1,2019,1
07/25/2021,20180725,2018-07-25,4,Wednesday,25,206,30,July,7,3,2018,2,1,2019,1
07/26/2021,20180726,2018-07-26,5,Thursday,26,207,30,July,7,3,2018,2,1,2019,1
07/27/2021,20180727,2018-07-27,6,Friday,27,208,30,July,7,3,2018,2,1,2019,1
07/28/2021,20180728,2018-07-28,7,Saturday,28,209,30,July,7,3,2018,2,1,2019,1
07/29/2021,20180729,2018-07-29,1,Sunday,29,210,31,July,7,3,2018,2,1,2019,1
07/30/2021,20180730,2018-07-30,2,Monday,30,211,31,July,7,3,2018,2,1,2019,1
07/31/2021,20180731,2018-07-31,3,Tuesday,31,212,31,July,7,3,2018,2,1,2019,1
08/01/2021,20180801,2018-08-01,4,Wednesday,1,213,31,August,8,3,2018,2,1,2019,1
08/02/2021,20180802,2018-08-02,5,Thursday,2,214,31,August,8,3,2018,2,1,2019,1
08/03/2021,20180803,2018-08-03,6,Friday,3,215,31,August,8,3,2018,2,1,2019,1
08/04/2021,20180804,2018-08-04,7,Saturday,4,216,31,August,8,3,2018,2,1,2019,1
08/05/2021,20180805,2018-08-05,1,Sunday,5,217,32,August,8,3,2018,2,1,2019,1
08/06/2021,20180806,2018-08-06,2,Monday,6,218,32,August,8,3,2018,2,1,2019,1
08/07/2021,20180807,2018-08-07,3,Tuesday,7,219,32,August,8,3,2018,2,1,2019,1
08/08/2021,20180808,2018-08-08,4,Wednesday,8,220,32,August,8,3,2018,2,1,2019,1
08/09/2021,20180809,2018-08-09,5,Thursday,9,221,32,August,8,3,2018,2,1,2019,1
08/10/2021,20180810,2018-08-10,6,Friday,10,222,32,August,8,3,2018,2,1,2019,1
08/11/2021,20180811,2018-08-11,7,Saturday,11,223,32,August,8,3,2018,2,1,2019,1
08/12/2021,20180812,2018-08-12,1,Sunday,12,224,33,August,8,3,2018,2,1,2019,1
08/13/2021,20180813,2018-08-13,2,Monday,13,225,33,August,8,3,2018,2,1,2019,1
08/14/2021,20180814,2018-08-14,3,Tuesday,14,226,33,August,8,3,2018,2,1,2019,1
08/15/2021,20180815,2018-08-15,4,Wednesday,15,227,33,August,8,3,2018,2,1,2019,1
08/16/2021,20180816,2018-08-16,5,Thursday,16,228,33,August,8,3,2018,2,1,2019,1
08/17/2021,20180817,2018-08-17,6,Friday,17,229,33,August,8,3,2018,2,1,2019,1
08/18/2021,20180818,2018-08-18,7,Saturday,18,230,33,August,8,3,2018,2,1,2019,1
08/19/2021,20180819,2018-08-19,1,Sunday,19,231,34,August,8,3,2018,2,1,2019,1
08/20/2021,20180820,2018-08-20,2,Monday,20,232,34,August,8,3,2018,2,1,2019,1
08/21/2021,20180821,2018-08-21,3,Tuesday,21,233,34,August,8,3,2018,2,1,2019,1
08/22/2021,20180822,2018-08-22,4,Wednesday,22,234,34,August,8,3,2018,2,1,2019,1
08/23/2021,20180823,2018-08-23,5,Thursday,23,235,34,August,8,3,2018,2,1,2019,1
08/24/2021,20180824,2018-08-24,6,Friday,24,236,34,August,8,3,2018,2,1,2019,1
08/25/2021,20180825,2018-08-25,7,Saturday,25,237,34,August,8,3,2018,2,1,2019,1
08/26/2021,20180826,2018-08-26,1,Sunday,26,238,35,August,8,3,2018,2,1,2019,1
08/27/2021,20180827,2018-08-27,2,Monday,27,239,35,August,8,3,2018,2,1,2019,1
08/28/2021,20180828,2018-08-28,3,Tuesday,28,240,35,August,8,3,2018,2,1,2019,1
08/29/2021,20180829,2018-08-29,4,Wednesday,29,241,35,August,8,3,2018,2,1,2019,1
08/30/2021,20180830,2018-08-30,5,Thursday,30,242,35,August,8,3,2018,2,1,2019,1
08/31/2021,20180831,2018-08-31,6,Friday,31,243,35,August,8,3,2018,2,1,2019,1
09/01/2021,20180901,2018-09-01,7,Saturday,1,244,35,September,9,3,2018,2,1,2019,1
09/02/2021,20180902,2018-09-02,1,Sunday,2,245,36,September,9,3,2018,2,1,2019,1
09/03/2021,20180903,2018-09-03,2,Monday,3,246,36,September,9,3,2018,2,1,2019,1
09/04/2021,20180904,2018-09-04,3,Tuesday,4,247,36,September,9,3,2018,2,1,2019,1
09/05/2021,20180905,2018-09-05,4,Wednesday,5,248,36,September,9,3,2018,2,1,2019,1
09/06/2021,20180906,2018-09-06,5,Thursday,6,249,36,September,9,3,2018,2,1,2019,1
09/07/2021,20180907,2018-09-07,6,Friday,7,250,36,September,9,3,2018,2,1,2019,1
09/08/2021,20180908,2018-09-08,7,Saturday,8,251,36,September,9,3,2018,2,1,2019,1
09/09/2021,20180909,2018-09-09,1,Sunday,9,252,37,September,9,3,2018,2,1,2019,1
09/10/2021,20180910,2018-09-10,2,Monday,10,253,37,September,9,3,2018,2,1,2019,1
09/11/2021,20180911,2018-09-11,3,Tuesday,11,254,37,September,9,3,2018,2,1,2019,1
09/12/2021,20180912,2018-09-12,4,Wednesday,12,255,37,September,9,3,2018,2,1,2019,1
09/13/2021,20180913,2018-09-13,5,Thursday,13,256,37,September,9,3,2018,2,1,2019,1
09/14/2021,20180914,2018-09-14,6,Friday,14,257,37,September,9,3,2018,2,1,2019,1
09/15/2021,20180915,2018-09-15,7,Saturday,15,258,37,September,9,3,2018,2,1,2019,1
09/16/2021,20180916,2018-09-16,1,Sunday,16,259,38,September,9,3,2018,2,1,2019,1
09/17/2021,20180917,2018-09-17,2,Monday,17,260,38,September,9,3,2018,2,1,2019,1
09/18/2021,20180918,2018-09-18,3,Tuesday,18,261,38,September,9,3,2018,2,1,2019,1
09/19/2021,20180919,2018-09-19,4,Wednesday,19,262,38,September,9,3,2018,2,1,2019,1
09/20/2021,20180920,2018-09-20,5,Thursday,20,263,38,September,9,3,2018,2,1,2019,1
09/21/2021,20180921,2018-09-21,6,Friday,21,264,38,September,9,3,2018,2,1,2019,1
09/22/2021,20180922,2018-09-22,7,Saturday,22,265,38,September,9,3,2018,2,1,2019,1
09/23/2021,20180923,2018-09-23,1,Sunday,23,266,39,September,9,3,2018,2,1,2019,1
09/24/2021,20180924,2018-09-24,2,Monday,24,267,39,September,9,3,2018,2,1,2019,1
09/25/2021,20180925,2018-09-25,3,Tuesday,25,268,39,September,9,3,2018,2,1,2019,1
09/26/2021,20180926,2018-09-26,4,Wednesday,26,269,39,September,9,3,2018,2,1,2019,1
09/27/2021,20180927,2018-09-27,5,Thursday,27,270,39,September,9,3,2018,2,1,2019,1
09/28/2021,20180928,2018-09-28,6,Friday,28,271,39,September,9,3,2018,2,1,2019,1
09/29/2021,20180929,2018-09-29,7,Saturday,29,272,39,September,9,3,2018,2,1,2019,1
09/30/2021,20180930,2018-09-30,1,Sunday,30,273,40,September,9,3,2018,2,1,2019,1
10/01/2021,20181001,2018-10-01,2,Monday,1,274,40,October,10,4,2018,2,2,2019,1
10/02/2021,20181002,2018-10-02,3,Tuesday,2,275,40,October,10,4,2018,2,2,2019,1
10/03/2021,20181003,2018-10-03,4,Wednesday,3,276,40,October,10,4,2018,2,2,2019,1
10/04/2021,20181004,2018-10-04,5,Thursday,4,277,40,October,10,4,2018,2,2,2019,1
10/05/2021,20181005,2018-10-05,6,Friday,5,278,40,October,10,4,2018,2,2,2019,1
10/06/2021,20181006,2018-10-06,7,Saturday,6,279,40,October,10,4,2018,2,2,2019,1
10/07/2021,20181007,2018-10-07,1,Sunday,7,280,41,October,10,4,2018,2,2,2019,1
10/08/2021,20181008,2018-10-08,2,Monday,8,281,41,October,10,4,2018,2,2,2019,1
10/09/2021,20181009,2018-10-09,3,Tuesday,9,282,41,October,10,4,2018,2,2,2019,1
10/10/2021,20181010,2018-10-10,4,Wednesday,10,283,41,October,10,4,2018,2,2,2019,1
10/11/2021,20181011,2018-10-11,5,Thursday,11,284,41,October,10,4,2018,2,2,2019,1
10/12/2021,20181012,2018-10-12,6,Friday,12,285,41,October,10,4,2018,2,2,2019,1
10/13/2021,20181013,2018-10-13,7,Saturday,13,286,41,October,10,4,2018,2,2,2019,1
10/14/2021,20181014,2018-10-14,1,Sunday,14,287,42,October,10,4,2018,2,2,2019,1
10/15/2021,20181015,2018-10-15,2,Monday,15,288,42,October,10,4,2018,2,2,2019,1
10/16/2021,20181016,2018-10-16,3,Tuesday,16,289,42,October,10,4,2018,2,2,2019,1
10/17/2021,20181017,2018-10-17,4,Wednesday,17,290,42,October,10,4,2018,2,2,2019,1
10/18/2021,20181018,2018-10-18,5,Thursday,18,291,42,October,10,4,2018,2,2,2019,1
10/19/2021,20181019,2018-10-19,6,Friday,19,292,42,October,10,4,2018,2,2,2019,1
10/20/2021,20181020,2018-10-20,7,Saturday,20,293,42,October,10,4,2018,2,2,2019,1
10/21/2021,20181021,2018-10-21,1,Sunday,21,294,43,October,10,4,2018,2,2,2019,1
10/22/2021,20181022,2018-10-22,2,Monday,22,295,43,October,10,4,2018,2,2,2019,1
10/23/2021,20181023,2018-10-23,3,Tuesday,23,296,43,October,10,4,2018,2,2,2019,1
10/24/2021,20181024,2018-10-24,4,Wednesday,24,297,43,October,10,4,2018,2,2,2019,1
10/25/2021,20181025,2018-10-25,5,Thursday,25,298,43,October,10,4,2018,2,2,2019,1
10/26/2021,20181026,2018-10-26,6,Friday,26,299,43,October,10,4,2018,2,2,2019,1
10/27/2021,20181027,2018-10-27,7,Saturday,27,300,43,October,10,4,2018,2,2,2019,1
10/28/2021,20181028,2018-10-28,1,Sunday,28,301,44,October,10,4,2018,2,2,2019,1
10/29/2021,20181029,2018-10-29,2,Monday,29,302,44,October,10,4,2018,2,2,2019,1
10/30/2021,20181030,2018-10-30,3,Tuesday,30,303,44,October,10,4,2018,2,2,2019,1
10/31/2021,20181031,2018-10-31,4,Wednesday,31,304,44,October,10,4,2018,2,2,2019,1
11/01/2021,20181101,2018-11-01,5,Thursday,1,305,44,November,11,4,2018,2,2,2019,1
11/02/2021,20181102,2018-11-02,6,Friday,2,306,44,November,11,4,2018,2,2,2019,1
11/03/2021,20181103,2018-11-03,7,Saturday,3,307,44,November,11,4,2018,2,2,2019,1
11/04/2021,20181104,2018-11-04,1,Sunday,4,308,45,November,11,4,2018,2,2,2019,1
11/05/2021,20181105,2018-11-05,2,Monday,5,309,45,November,11,4,2018,2,2,2019,1
11/06/2021,20181106,2018-11-06,3,Tuesday,6,310,45,November,11,4,2018,2,2,2019,1
11/07/2021,20181107,2018-11-07,4,Wednesday,7,311,45,November,11,4,2018,2,2,2019,1
11/08/2021,20181108,2018-11-08,5,Thursday,8,312,45,November,11,4,2018,2,2,2019,1
11/09/2021,20181109,2018-11-09,6,Friday,9,313,45,November,11,4,2018,2,2,2019,1
11/10/2021,20181110,2018-11-10,7,Saturday,10,314,45,November,11,4,2018,2,2,2019,1
11/11/2021,20181111,2018-11-11,1,Sunday,11,315,46,November,11,4,2018,2,2,2019,1
11/12/2021,20181112,2018-11-12,2,Monday,12,316,46,November,11,4,2018,2,2,2019,1
11/13/2021,20181113,2018-11-13,3,Tuesday,13,317,46,November,11,4,2018,2,2,2019,1
11/14/2021,20181114,2018-11-14,4,Wednesday,14,318,46,November,11,4,2018,2,2,2019,1
11/15/2021,20181115,2018-11-15,5,Thursday,15,319,46,November,11,4,2018,2,2,2019,1
11/16/2021,20181116,2018-11-16,6,Friday,16,320,46,November,11,4,2018,2,2,2019,1
11/17/2021,20181117,2018-11-17,7,Saturday,17,321,46,November,11,4,2018,2,2,2019,1
11/18/2021,20181118,2018-11-18,1,Sunday,18,322,47,November,11,4,2018,2,2,2019,1
11/19/2021,20181119,2018-11-19,2,Monday,19,323,47,November,11,4,2018,2,2,2019,1
11/20/2021,20181120,2018-11-20,3,Tuesday,20,324,47,November,11,4,2018,2,2,2019,1
11/21/2021,20181121,2018-11-21,4,Wednesday,21,325,47,November,11,4,2018,2,2,2019,1
11/22/2021,20181122,2018-11-22,5,Thursday,22,326,47,November,11,4,2018,2,2,2019,1
11/23/2021,20181123,2018-11-23,6,Friday,23,327,47,November,11,4,2018,2,2,2019,1
11/24/2021,20181124,2018-11-24,7,Saturday,24,328,47,November,11,4,2018,2,2,2019,1
11/25/2021,20181125,2018-11-25,1,Sunday,25,329,48,November,11,4,2018,2,2,2019,1
11/26/2021,20181126,2018-11-26,2,Monday,26,330,48,November,11,4,2018,2,2,2019,1
11/27/2021,20181127,2018-11-27,3,Tuesday,27,331,48,November,11,4,2018,2,2,2019,1
11/28/2021,20181128,2018-11-28,4,Wednesday,28,332,48,November,11,4,2018,2,2,2019,1
11/29/2021,20181129,2018-11-29,5,Thursday,29,333,48,November,11,4,2018,2,2,2019,1
11/30/2021,20181130,2018-11-30,6,Friday,30,334,48,November,11,4,2018,2,2,2019,1
12/01/2021,20181201,2018-12-01,7,Saturday,1,335,48,December,12,4,2018,2,2,2019,1
12/02/2021,20181202,2018-12-02,1,Sunday,2,336,49,December,12,4,2018,2,2,2019,1
12/03/2021,20181203,2018-12-03,2,Monday,3,337,49,December,12,4,2018,2,2,2019,1
12/04/2021,20181204,2018-12-04,3,Tuesday,4,338,49,December,12,4,2018,2,2,2019,1
12/05/2021,20181205,2018-12-05,4,Wednesday,5,339,49,December,12,4,2018,2,2,2019,1
12/06/2021,20181206,2018-12-06,5,Thursday,6,340,49,December,12,4,2018,2,2,2019,1
12/07/2021,20181207,2018-12-07,6,Friday,7,341,49,December,12,4,2018,2,2,2019,1
12/08/2021,20181208,2018-12-08,7,Saturday,8,342,49,December,12,4,2018,2,2,2019,1
12/09/2021,20181209,2018-12-09,1,Sunday,9,343,50,December,12,4,2018,2,2,2019,1
12/10/2021,20181210,2018-12-10,2,Monday,10,344,50,December,12,4,2018,2,2,2019,1
12/11/2021,20181211,2018-12-11,3,Tuesday,11,345,50,December,12,4,2018,2,2,2019,1
12/12/2021,20181212,2018-12-12,4,Wednesday,12,346,50,December,12,4,2018,2,2,2019,1
12/13/2021,20181213,2018-12-13,5,Thursday,13,347,50,December,12,4,2018,2,2,2019,1
12/14/2021,20181214,2018-12-14,6,Friday,14,348,50,December,12,4,2018,2,2,2019,1
12/15/2021,20181215,2018-12-15,7,Saturday,15,349,50,December,12,4,2018,2,2,2019,1
12/16/2021,20181216,2018-12-16,1,Sunday,16,350,51,December,12,4,2018,2,2,2019,1
12/17/2021,20181217,2018-12-17,2,Monday,17,351,51,December,12,4,2018,2,2,2019,1
12/18/2021,20181218,2018-12-18,3,Tuesday,18,352,51,December,12,4,2018,2,2,2019,1
12/19/2021,20181219,2018-12-19,4,Wednesday,19,353,51,December,12,4,2018,2,2,2019,1
12/20/2021,20181220,2018-12-20,5,Thursday,20,354,51,December,12,4,2018,2,2,2019,1
12/21/2021,20181221,2018-12-21,6,Friday,21,355,51,December,12,4,2018,2,2,2019,1
12/22/2021,20181222,2018-12-22,7,Saturday,22,356,51,December,12,4,2018,2,2,2019,1
12/23/2021,20181223,2018-12-23,1,Sunday,23,357,52,December,12,4,2018,2,2,2019,1
12/24/2021,20181224,2018-12-24,2,Monday,24,358,52,December,12,4,2018,2,2,2019,1
12/25/2021,20181225,2018-12-25,3,Tuesday,25,359,52,December,12,4,2018,2,2,2019,1
12/26/2021,20181226,2018-12-26,4,Wednesday,26,360,52,December,12,4,2018,2,2,2019,1
12/27/2021,20181227,2018-12-27,5,Thursday,27,361,52,December,12,4,2018,2,2,2019,1
12/28/2021,20181228,2018-12-28,6,Friday,28,362,52,December,12,4,2018,2,2,2019,1
12/29/2021,20181229,2018-12-29,7,Saturday,29,363,52,December,12,4,2018,2,2,2019,1
12/30/2021,20181230,2018-12-30,1,Sunday,30,364,53,December,12,4,2018,2,2,2019,1
12/31/2021,20181231,2018-12-31,2,Monday,31,365,53,December,12,4,2018,2,2,2019,1
01/01/2022,20190101,2019-01-01,3,Tuesday,1,1,1,January,1,1,2019,1,3,2019,2
01/02/2022,20190102,2019-01-02,4,Wednesday,2,2,1,January,1,1,2019,1,3,2019,2
01/03/2022,20190103,2019-01-03,5,Thursday,3,3,1,January,1,1,2019,1,3,2019,2
01/04/2022,20190104,2019-01-04,6,Friday,4,4,1,January,1,1,2019,1,3,2019,2
01/05/2022,20190105,2019-01-05,7,Saturday,5,5,1,January,1,1,2019,1,3,2019,2
01/06/2022,20190106,2019-01-06,1,Sunday,6,6,2,January,1,1,2019,1,3,2019,2
01/07/2022,20190107,2019-01-07,2,Monday,7,7,2,January,1,1,2019,1,3,2019,2
01/08/2022,20190108,2019-01-08,3,Tuesday,8,8,2,January,1,1,2019,1,3,2019,2
01/09/2022,20190109,2019-01-09,4,Wednesday,9,9,2,January,1,1,2019,1,3,2019,2
01/10/2022,20190110,2019-01-10,5,Thursday,10,10,2,January,1,1,2019,1,3,2019,2
01/11/2022,20190111,2019-01-11,6,Friday,11,11,2,January,1,1,2019,1,3,2019,2
01/12/2022,20190112,2019-01-12,7,Saturday,12,12,2,January,1,1,2019,1,3,2019,2
